date	slug	title	article_status	image_status	cardnews_status	video_script_status	illustration_request_status	render_status	review_status	assignee	publish_youtube	publish_instagram	publish_tiktok	result_folder	notes	updated_at
2026.06.06	012_news_galaxy_unpack_july	갤럭시 언팩 2026 / 7월 22일 런던 / 폴드8·플립8·워치9 공개 + 사전예약 임박	있음	5/5	완료 18장	있음	경고 15개	완료						C:\Users\di898\Documents\phonespot_cardnews\CODEX_VIDEO_DESK\RESULTS\20260606_012_news_galaxy_unpack_july_codex_remotion_123101		2026-06-06T14:31:22
2026.06.06	011_qa_combo_discount_check	결합할인 진짜 이득? / 가족 인터넷 결합 1분 계산법 / 6월 약정만료 골든타임	있음	5/5	완료 18장	있음	경고 20개	완료						C:\Users\di898\Documents\phonespot_cardnews\CODEX_VIDEO_DESK\RESULTS\20260605_011_qa_combo_discount_check_codex_remotion		2026-06-06T14:31:22
2026.06.06	010_tip_iphone_call_record	아이폰 통화 녹음 17년 만에 도입 / iOS 18.1+ 활용법 / 에이닷·익시오로 고지 우회	있음	5/5	완료 18장	있음	신규 8개	완료						C:\Users\di898\Documents\phonespot_cardnews\CODEX_VIDEO_DESK\RESULTS\20260605_010_tip_iphone_call_record_codex_remotion		2026-06-06T14:31:22
2026.06.05	018_scam_wedding_invite_smishing	6월 결혼 시즌 모바일 청첩장 스미싱 / 악성앱 원격제어 / 의심 시 비행기 모드 즉시	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.06.05	017_tip_summer_travel_phone_5min	휴가철 출국 전 5분 점검 / 로밍 차단·eSIM·분실 대비·공공 와이파이 보안 / 요금 폭탄·도난 동시 차단	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.06.05	016_news_ios_26_3_release	iOS 26.3 정식 출시 / 안드로이드→아이폰 이전 개선 / 타사워치 알림 받기	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.06.05	015_qa_msafer_pass_identity_block	내 명의로 폰 몇 대 개통됐나 / Msafer + PASS 1분 확인 / 3가지 차단 신청법	있음	5/5	완료 18장	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.06.05	014_scam_voicephishing_zero_relief	보이스피싱 피해자 지원 6월 1일 재개 / 누적 5,211명 150억 / 신청 5가지 채널	있음	5/5	완료 18장	있음	신규 1개	없음								2026-06-06T14:31:22
2026.06.04	013_tip_galaxy_camera_hidden	갤럭시 카메라 95%가 모르는 숨은 기능 5가지 / 카메라 어시스턴트 + 2배 줌 + 촬영 속도	있음	5/5	완료 18장	있음	경고 23개	없음								2026-06-06T14:31:22
2026.06.04	009_scam_kakao_family_phishing	카톡 가족 사칭 메신저피싱 / 부모님 폰 5분 진단법 / 자녀가 보낸 척 입금 요청	있음	5/5	완료 18장	있음	경고 23개	완료						C:\Users\di898\Documents\phonespot_cardnews\CODEX_VIDEO_DESK\RESULTS\20260604_009_scam_kakao_family_phishing_codex_remotion_160629		2026-06-06T14:31:22
2026.06.04	008_qa_penalty_zero	휴대폰 위약금 계산법 + 0원 만드는 법 / 통신3사 공시·선택약정 / 6월 약정만료 골든타임	있음	5/5	완료 18장	있음	경고 24개	완료						C:\Users\di898\Documents\phonespot_cardnews\CODEX_VIDEO_DESK\RESULTS\20260603_008_qa_penalty_zero_codex_remotion_114921		2026-06-06T14:31:22
2026.06.04	007_tip_data_transfer_smartswitch	아이폰↔갤럭시 데이터 한 번에 옮기기 / Smart Switch 완벽 가이드 / 카톡·뱅킹 별도 백업까지	있음	5/5	완료 18장	있음	경고 15개	완료						C:\Users\di898\Documents\phonespot_cardnews\CODEX_VIDEO_DESK\RESULTS\20260604_007_tip_data_transfer_smartswitch_codex_remotion		2026-06-06T14:31:22
2026.06.02	006_scam_oilfund_smishing	정부는 절대 링크 안 보냅니다 / 고유가지원금 2차 노린 스미싱 기승 / 부모님 폰 차단 5가지	있음	5/5	완료 18장	있음	없음	없음								2026-06-06T14:31:22
2026.06.02	005_scam_voice_phishing_peak	보이스피싱 피해 8,545억 역대 최대 / 기관사칭형 4배 폭증 / 부모님 폰 차단 설정 5가지	있음	5/5	완료 18장	있음	없음	없음								2026-06-06T14:31:22
2026.06.02	004_qa_subsidy_vs_contract	공시지원금 vs 선택약정 25% / 누가 더 이득? / 단말 가격대별 정답	있음	5/5	완료 18장	있음	신규 2개	없음								2026-06-06T14:31:22
2026.06.01	003_tip_battery_life_double	스마트폰 사용자 95%가 모르는 배터리 수명 2배 늘리는 설정 / 부모님 폰 1년 더 쓰는 법	있음	5/5	완료 18장	있음	신규 1개	없음								2026-06-06T14:31:22
2026.06.01	002_iphone_anti_theft_2026	애플 아이폰 도난감지 자동 잠금 개발 중 / 애플워치 거리 분석 / 잠금 해제 상태에서도 즉시 대응	있음	5/5	완료 18장	있음	요청서 없음	없음								2026-06-06T14:31:22
2026.06.01	001_apple_ondevice_ai_wwdc26	애플 WWDC26 '온디바이스 AI' 승부수 / 6월 8일 / 내 폰 안에서 처리되는 AI	있음	5/5	완료 18장	있음	요청서 없음	없음								2026-06-06T14:31:22
2026.05.28	ios_26_6_beta_2026	iOS 26.6 첫 베타 공개 / 연락처 차단 2만개 알림 / 애플 지도 보안 강화	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.28	galaxy_price_hike_europe_2026	갤럭시S·Z폴드·Z플립 유럽 가격 인상 / 최대 35만원 / 메모리 가격 상승이 원인	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.28	chrome_auto_test	Chrome 자동화 검증용 테스트 (실제 발행 X)	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.28	apple_wwdc_siri_gemini_2026	애플 WWDC 2026 6/8 임박 / 구글 Gemini 탑재 신형 Siri / 시총 5조 달러 임박	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.27	phone_repair_security_2026	폰 수리 맡길 때 사생활 보안 수칙 / 베스트바이 직원 사진 에어드롭 사건 / 수리 전 5가지 점검	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.27	iphone_nfc_open_2026	아이폰 NFC 개방 '상호운용성 확보법' 발의 / 통과 시 삼성페이·카카오페이 아이폰 가능	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.27	iphone18_aluminum_2026	아이폰18 프로, 티타늄 대신 알루미늄 유지 / AI 발열 부담 / 새 소재는 2027년 이후	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.26	galaxy_ai_club_may_2026	갤럭시 AI 구독클럽 5월 한정 / 폰 반납 시 최대 10만원 추가보상 / 5월 31일 마감	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.22	galaxys26_zero_2026	갤럭시 S26 사실상 공짜폰 / 단통법 폐지 후 역대 최대 지원금 / 통신3사 70·60·58만원	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.13	oneui85_q2_2026	One UI 8.5 정식 배포 / 통화 스크리닝·크리에이티브 스튜디오 / One UI 9 베타 갤S26 한정	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.12	iphone17_q1_2026_no1	아이폰 17 사상 첫 글로벌 1위 / 갤S26 톱10 실패	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.11	oneui_8_5_korea_may_rollout	원UI 8.5 정식 배포 시작 갤럭시 신기능	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.08	galaxy_a37_korea_may_launch	갤럭시 A37 한국 5월 출시 임박	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.07	galaxy_s26_family_festa_may	갤럭시 S26 패밀리 페스타 5월 혜택	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.06	election_call_block_2026	6월 지방선거 여론조사 전화 차단 통신 3사	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.04	kidsphones_compare_2026_05	어린이날 키즈폰 통신 3사 비교	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.05.04	family_month_telcom_2026	통신 3사 5월 가정의 달 비교	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.04.30	galaxy_zfold8_lineup	갤럭시 Z 폴드8 + 와이드 폴드	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.04.28	voice_phishing_care		있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
2026.04.28	face_auth_july	안면인증 7월 의무화	있음	없음	대기	없음	요청서 없음	없음								2026-06-06T14:31:23
